technology,config,n,stability_mean_jaccard,not_plausible_rate_occurrence,precision_proxy_occurrence,not_plausible_rate_dedup_canon,precision_proxy_dedup_canon,produced_components_median,silver_recall_proxy,final_convergence_mean,rounds_mean,runtime_seconds
Hearing Aid,v1v1v1,1,0.182637,0.142857,0.857143,0.200000,0.800000,3.000000,0.307692,0.870800,1.000000,56.792
Hearing Aid,d2v1v1,2,0.139313,0.235294,0.764706,0.090909,0.909091,5.000000,0.769231,0.917800,1.800000,2557.717
Hearing Aid,d3v1v1,3,0.254074,0.148148,0.851852,0.100000,0.900000,5.000000,0.692308,0.848200,1.800000,159.875
Hearing Aid,d4v1v1,4,0.194915,0.090909,0.909091,0.111111,0.888889,5.000000,0.615385,0.882800,1.600000,6194.850
Hearing Aid,d5v1v1,5,0.243636,0.083333,0.916667,0.111111,0.888889,3.000000,0.615385,0.888600,2.000000,6428.935
Implantable Cardiac Defibrillator (ICD),v1v1v1,1,0.044432,0.000000,1.000000,0.000000,1.000000,4.000000,0.312500,0.897600,1.000000,56.792
Implantable Cardiac Defibrillator (ICD),d2v1v1,2,0.162821,0.000000,1.000000,0.000000,1.000000,4.000000,0.500000,0.898400,2.000000,2557.717
Implantable Cardiac Defibrillator (ICD),d3v1v1,3,0.064311,0.000000,1.000000,0.000000,1.000000,4.000000,0.562500,0.966600,2.000000,159.875
Implantable Cardiac Defibrillator (ICD),d4v1v1,4,0.088288,0.000000,1.000000,0.000000,1.000000,6.000000,0.625000,0.935400,2.600000,6194.850
Implantable Cardiac Defibrillator (ICD),d5v1v1,5,0.089207,0.000000,1.000000,0.000000,1.000000,4.000000,0.687500,0.902400,2.200000,6428.935
Industrial IoT Gateway,v1v1v1,1,0.006667,0.000000,1.000000,0.000000,1.000000,4.000000,0.642857,0.873800,1.000000,56.792
Industrial IoT Gateway,d2v1v1,2,0.055931,0.000000,1.000000,0.000000,1.000000,4.000000,0.642857,0.940000,2.000000,2557.717
Industrial IoT Gateway,d3v1v1,3,0.035397,0.000000,1.000000,0.000000,1.000000,4.000000,0.571429,0.851200,1.800000,159.875
Industrial IoT Gateway,d4v1v1,4,0.046841,0.000000,1.000000,0.000000,1.000000,4.500000,0.714286,0.842000,2.000000,6194.850
Industrial IoT Gateway,d5v1v1,5,0.038333,0.040000,0.960000,0.100000,0.900000,5.000000,0.642857,0.823600,2.200000,6428.935
Industrial Motor Drive (Variable Frequency),v1v1v1,1,0.013810,0.000000,1.000000,0.000000,1.000000,5.000000,0.437500,0.894000,1.000000,56.792
Industrial Motor Drive (Variable Frequency),d2v1v1,2,0.103773,0.000000,1.000000,0.000000,1.000000,4.000000,0.437500,1.000000,2.000000,2557.717
Industrial Motor Drive (Variable Frequency),d3v1v1,3,0.075215,0.000000,1.000000,0.000000,1.000000,4.000000,0.562500,0.970400,1.600000,159.875
Industrial Motor Drive (Variable Frequency),d4v1v1,4,0.112249,0.000000,1.000000,0.000000,1.000000,5.000000,0.687500,0.870400,1.600000,6194.850
Industrial Motor Drive (Variable Frequency),d5v1v1,5,0.135638,0.024390,0.975610,0.083333,0.916667,5.000000,0.750000,0.927600,2.200000,6428.935
Industrial PLC Module,v1v1v1,1,0.338095,0.153846,0.846154,0.400000,0.600000,4.000000,0.428571,0.882800,1.000000,56.792
Industrial PLC Module,d2v1v1,2,0.285696,0.125000,0.875000,0.166667,0.833333,3.000000,0.714286,0.950000,1.600000,2557.717
Industrial PLC Module,d3v1v1,3,0.214334,0.111111,0.888889,0.142857,0.857143,5.000000,0.857143,0.832000,1.400000,159.875
Industrial PLC Module,d4v1v1,4,0.329978,0.083333,0.916667,0.166667,0.833333,3.000000,0.714286,0.934800,2.000000,6194.850
Industrial PLC Module,d5v1v1,5,0.361868,0.076923,0.923077,0.200000,0.800000,3.000000,0.571429,0.898200,1.800000,6428.935
